Company,"CIK Code",Ticker,Market,"S&P Index","Russell Index","Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Audit Opinion Key",Auditor,"Auditor Key","Auditor PCAOB Registration Number","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate PCAOB Registration Number","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","Year Ended Date","Year Ended (Ideal)","Month Ended (Ideal)","Signature Date",Source,"Source Date","Going Concern","Going Concern Issue Key List","Going Concern Issue Phrase List","Total CAMS in Opinion","Accounting Basis","Is Integrated Audit","Is Additional Opinion","Additional Signature Date 1","Additional Signature Date 2","Additional Signature Date 3","Additional Signature Date 4","Additional Signature Date 5","Auditor Since Year","Auditor Since Code","Predecessor Auditor Since Year","Predecessor Auditor Since Code","Filer Status","Fees Fiscal Year Ended","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)",,,,,
"Advisers Investment Trust",1516523,,,,,"50 S. LASALLE STREET",,CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60603,"(855) 351-4583",,,,,525910,"Open-End Investment Funds",40,576120,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-30,2025,09,2025-11-20,N-CSR,2025-11-26,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"69,350","14,155","83,505",,,,,,,,,,,,,,
"FT 12001",2045747,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,550521,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-02-07,2025,1,2025-02-07,487,2025-02-07,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eaton Vance Municipals Trust II",914529,,,,,"ONE POST OFFICE SQUARE",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02109,"(617) 482-8260",,,,,525990,"Other Financial Vehicles",40,559481,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-01-31,2025,01,2025-03-24,N-CSR,2025-03-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"296,300",0,"296,300",,,,,,,,,,,,,,
"VICTORY PORTFOLIOS III",908695,,,,,"15935 LA CANTERA PARKWAY","BUILDING TWO","SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3625",,,,,525910,"Open-End Investment Funds",40,563577,"Ernst & Young LLP",2,0042,,,,"San Antonio",TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-24,N-CSR,2025-04-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"449,800","90,571","540,371",,,,,,,,,,,,,,
"Macquarie ETF Trust",1969995,,,,,"100 INDEPENDENCE","610 MARKET STREET",PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19106,"(800) 523-1918",,,,,525910,"Open-End Investment Funds",40,566905,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-03-31,2025,03,2025-05-30,N-CSR/A,2025-06-13,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"181,000","1,374,878","1,555,878",,,,,,,,,,,,,,
"FT 12278",2057975,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,567417,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-06-25,2025,06,2025-06-25,487,2025-06-25,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIDELITY SUMMER STREET TRUST",225322,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,568953,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-05-31,2025,05,2025-07-15,N-CSR,2025-07-23,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12361",2066511,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,569465,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-30,2025,07,2025-07-30,487,2025-07-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Japan Bank for International Cooperation",1551322,,,,,"4-1 Otemachi 1-chome",Chiyoda-ku,Tokyo,,M0,JAPAN,Foreign,100-8144,"(000) 000-0000",,,8888,"Foreign Governments",522293,"International Trade Financing",34,569721,"Ernst & Young LLP",2,0042,"Ernst & Young ShinNihon LLC",48,789,Tokyo,M0,JAPAN,Foreign,2025-03-31,2025,03,2025-08-04,18-K,2025-08-04,No,,,,"GAAP - Japan",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIDELITY COVINGTON TRUST",945908,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,570745,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-06-30,2025,06,2025-08-12,N-CSR,2025-08-22,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCM FUND, INC.",908187,PCM,NYS,,,"1633 BROADWAY",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10019,"(212) 739-4000",,,,,525990,"Other Financial Vehicles",40,571513,"PricewaterhouseCoopers LLP",1,0238,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-06-30,2025,06,2025-08-27,N-CSR,2025-09-05,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"71,254",0,"71,254",,,,,,,,,,,,,,
"AMERICAN FUNDS SHORT-TERM TAX-EXEMPT BOND FUND",845376,,,,,"333 S HOPE ST - 55TH FL",,"LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90071,"(213) 486-9200",,,,,525990,"Other Financial Vehicles",40,573305,"PricewaterhouseCoopers LLP",1,0238,,,,"Los Angeles",CA,CALIFORNIA,"US West",2025-07-31,2025,07,2025-09-11,485BPOS,2025-09-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"61,000","9,000","70,000",,,,,,,,,,,,,,
"BlackRock Municipal Credit Alpha Portfolio, Inc.",1232860,MUI,NYS,,,"P.O. BOX 9011",,PRINCETON,Mercer,NJ,"NEW JERSEY","US Mid Atlantic",08543-9011,"(800) 441-7762",,,,,525990,"Other Financial Vehicles",40,573561,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-23,N-CSR,2025-10-03,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"32,698","21,088","53,786",,,,,,,,,,,,,,
"FIDELITY COVINGTON TRUST",945908,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,574329,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-08-31,2025,08,2025-10-15,N-CSR,2025-10-23,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNY Mellon Advantage Funds, Inc.",914775,,,,,"BNY MELLON INVESTMENT ADVISER, INC.","240 GREENWICH STREET","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10286,"(212) 922-6400",,,,,525910,"Open-End Investment Funds",40,574585,"Ernst & Young LLP",2,0042,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-08-31,2025,08,2025-10-23,N-CSR,2025-10-29,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"150,900","69,658","220,558",,,,,,,,,,,,,,
"INTERMEDIATE BOND FUND OF AMERICA",826813,,,,,"333 S HOPE ST - 55TH FL",,"LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90071,"(213) 486-9200",,,,,525990,"Other Financial Vehicles",40,574841,"Deloitte & Touche LLP",3,0034,,,,"Costa Mesa",CA,CALIFORNIA,"US West",2025-08-31,2025,08,2025-10-10,485BPOS,2025-10-31,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"176,000","12,000","188,000",,,,,,,,,,,,,,
"COLUMBIA FUNDS SERIES TRUST I",773757,,,,,"290 CONGRESS STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(800) 345-6611",,,,,525990,"Other Financial Vehicles",40,575097,"PricewaterhouseCoopers LLP",1,0238,,,,Minneapolis,MN,MINNESOTA,"US Midwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-06,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calvert Responsible Index Series, Inc.",1105446,,,,,"2050 M STREET NW",,WASHINGTON,"District of Columbia",DC,"DISTRICT OF COLUMBIA","US Mid Atlantic",20036,"(800) 225-6265",,,,,525990,"Other Financial Vehicles",40,576121,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-09-30,2025,09,2025-11-20,N-CSR,2025-11-26,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"132,100",0,"132,100",,,,,,,,,,,,,,
"FT 12060",2048299,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525990,"Other Financial Vehicles",33,547962,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-01-30,2025,01,2025-01-30,487,2025-01-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12000",2045745,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,550522,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-02-07,2025,1,2025-02-07,487,2025-02-07,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eaton Vance Municipals Trust II",914529,,,,,"ONE POST OFFICE SQUARE",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02109,"(617) 482-8260",,,,,525990,"Other Financial Vehicles",40,559482,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-01-31,2025,01,2025-03-24,N-CSR,2025-03-28,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"296,300",0,"296,300",,,,,,,,,,,,,,
"VICTORY PORTFOLIOS III",908695,,,,,"15935 LA CANTERA PARKWAY","BUILDING TWO","SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3625",,,,,525910,"Open-End Investment Funds",40,563578,"Ernst & Young LLP",2,0042,,,,"San Antonio",TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-24,N-CSR,2025-04-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"449,800","90,571","540,371",,,,,,,,,,,,,,
"Victory Portfolios IV",2042316,,,,,"15935 LA CANTERA PARKWAY",,"SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3624",,,,,525910,"Open-End Investment Funds",40,566650,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-03-31,2025,03,2025-05-30,N-CSR,2025-06-09,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"104,850","26,550","131,400",,,,,,,,,,,,,,
"Macquarie ETF Trust",1969995,,,,,"100 INDEPENDENCE","610 MARKET STREET",PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19106,"(800) 523-1918",,,,,525910,"Open-End Investment Funds",40,566906,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-03-31,2025,03,2025-05-30,N-CSR/A,2025-06-13,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"181,000","1,374,878","1,555,878",,,,,,,,,,,,,,
"FT 12276",2057973,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,567418,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-06-25,2025,06,2025-06-25,487,2025-06-25,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIDELITY SUMMER STREET TRUST",225322,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,568954,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-05-31,2025,05,2025-07-15,N-CSR,2025-07-23,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PUTNAM OHIO TAX EXEMPT INCOME FUND",794616,,,,,"100 FEDERAL STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 292-1000",,,,,525910,"Open-End Investment Funds",40,569466,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-05-31,2025,05,2025-07-21,N-CSR,2025-07-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"41,928","12,762","54,690",,,,,,,,,,,,,,
"Japan Bank for International Cooperation",1551322,,,,,"4-1 Otemachi 1-chome",Chiyoda-ku,Tokyo,,M0,JAPAN,Foreign,100-8144,"(000) 000-0000",,,8888,"Foreign Governments",522293,"International Trade Financing",34,569722,"Ernst & Young LLP",2,0042,"Ernst & Young ShinNihon LLC",48,789,Tokyo,M0,JAPAN,Foreign,2025-03-31,2025,03,2025-08-04,18-K,2025-08-04,No,,,,"IFRS - IASB",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIDELITY COVINGTON TRUST",945908,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,570746,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-06-30,2025,06,2025-08-12,N-CSR,2025-08-22,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Victory Portfolios IV",2042316,,,,,"15935 LA CANTERA PARKWAY",,"SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3624",,,,,525910,"Open-End Investment Funds",40,571514,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-06-30,2025,06,2025-08-22,N-CSR,2025-09-05,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12424",2070338,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,572794,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-23,2025,09,2025-09-23,487,2025-09-23,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAN FUNDS TAX EXEMPT SERIES II / CA",794389,,,,,"333 S HOPE ST - 55TH FL",,"LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90071,"(213) 486-9200",,,,,525990,"Other Financial Vehicles",40,573306,"PricewaterhouseCoopers LLP",1,0238,,,,"Los Angeles",CA,CALIFORNIA,"US West",2025-07-31,2025,07,2025-09-11,N-CSR,2025-09-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"75,000","9,000","84,000",,,,,,,,,,,,,,
"BlackRock ETF Trust",1761055,,,,,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,525910,"Open-End Investment Funds",40,573562,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-07-31,2025,07,2025-09-23,N-CSR,2025-10-03,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12584",2080226,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,574330,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-10-23,2025,10,2025-10-23,487,2025-10-23,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNY Mellon Advantage Funds, Inc.",914775,,,,,"BNY MELLON INVESTMENT ADVISER, INC.","240 GREENWICH STREET","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10286,"(212) 922-6400",,,,,525910,"Open-End Investment Funds",40,574586,"Ernst & Young LLP",2,0042,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-08-31,2025,08,2025-10-23,N-CSR,2025-10-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"150,900","69,658","220,558",,,,,,,,,,,,,,
"Golub Capital Private Income Fund S",2082557,,,,,"1209 ORANGE STREET",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19801,"(212) 750-6060",,,,,,,34,574842,"Ernst & Young LLP",2,0042,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-30,2025,09,2025-10-29,10-12G,2025-10-31,No,,,,"GAAP - US",No,No,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"COLUMBIA FUNDS SERIES TRUST I",773757,,,,,"290 CONGRESS STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(800) 345-6611",,,,,525990,"Other Financial Vehicles",40,575098,"PricewaterhouseCoopers LLP",1,0238,,,,Minneapolis,MN,MINNESOTA,"US Midwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-06,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calvert Responsible Index Series, Inc.",1105446,,,,,"2050 M STREET NW",,WASHINGTON,"District of Columbia",DC,"DISTRICT OF COLUMBIA","US Mid Atlantic",20036,"(800) 225-6265",,,,,525990,"Other Financial Vehicles",40,576122,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-09-30,2025,09,2025-11-20,N-CSR,2025-11-26,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"132,100",0,"132,100",,,,,,,,,,,,,,
"FT 12047",2047566,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525990,"Other Financial Vehicles",33,547963,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-01-30,2025,01,2025-01-30,487,2025-01-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eaton Vance Municipals Trust II",914529,,,,,"ONE POST OFFICE SQUARE",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02109,"(617) 482-8260",,,,,525990,"Other Financial Vehicles",40,559483,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-01-31,2025,01,2025-03-24,N-CSR,2025-03-28,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"296,300",0,"296,300",,,,,,,,,,,,,,
"PUTNAM INVESTMENT FUNDS",932101,,,,,"100 FEDERAL STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 292-1000",,,,,525990,"Other Financial Vehicles",40,563067,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-02-28,2025,02,2025-04-14,N-CSR,2025-04-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"46,537","5,814","52,351",,,,,,,,,,,,,,
"VICTORY PORTFOLIOS III",908695,,,,,"15935 LA CANTERA PARKWAY","BUILDING TWO","SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3625",,,,,525910,"Open-End Investment Funds",40,563579,"Ernst & Young LLP",2,0042,,,,"San Antonio",TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-24,N-CSR,2025-04-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"449,800","90,571","540,371",,,,,,,,,,,,,,
"Victory Portfolios IV",2042316,,,,,"15935 LA CANTERA PARKWAY",,"SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78256,"(210) 697-3624",,,,,525910,"Open-End Investment Funds",40,566651,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-03-31,2025,03,2025-05-30,N-CSR,2025-06-09,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"104,850","26,550","131,400",,,,,,,,,,,,,,
"PARTNERS GROUP NEXT GENERATION INFRASTRUCTURE, LLC",1989393,,,,,"C/O PARTNERS GROUP (USA) INC.","1114 AVENUE OF THE AMERICAS, 37TH FLOOR","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10036,"(212) 908-2600",,,,,525990,"Other Financial Vehicles",40,566907,"PricewaterhouseCoopers LLP",1,0238,,,,Dallas,TX,TEXAS,"US Southwest",2025-03-31,2025,03,2025-05-30,N-CSR/A,2025-06-13,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"263,424",0,"263,424",,,,,,,,,,,,,,
"FT 12275",2057972,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,567419,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-06-25,2025,06,2025-06-25,487,2025-06-25,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIDELITY SUMMER STREET TRUST",225322,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,568955,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-05-31,2025,05,2025-07-15,N-CSR,2025-07-23,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PUTNAM PENNSYLVANIA TAX EXEMPT INCOME FUND",794615,,,,,"100 FEDERAL STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 292-1000",,,,,525910,"Open-End Investment Funds",40,569467,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-05-31,2025,05,2025-07-21,N-CSR,2025-07-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"38,672","12,762","51,434",,,,,,,,,,,,,,
"AMERICAN FUNDS TAX EXEMPT SERIES II / CA",794389,,,,,"333 S HOPE ST - 55TH FL",,"LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90071,"(213) 486-9200",,,,,525990,"Other Financial Vehicles",40,573307,"PricewaterhouseCoopers LLP",1,0238,,,,"Los Angeles",CA,CALIFORNIA,"US West",2025-07-31,2025,07,2025-09-11,485BPOS,2025-09-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"75,000","9,000","84,000",,,,,,,,,,,,,,
"Columbia Funds Series Trust II",1352280,,,,,"290 CONGRESS STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(800) 345-6611",,,,,525910,"Open-End Investment Funds",40,573563,"PricewaterhouseCoopers LLP",1,0238,,,,Minneapolis,MN,MINNESOTA,"US Midwest",2025-07-31,2025,07,2025-09-22,N-CSR,2025-10-03,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12576",2080192,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,574331,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-10-23,2025,10,2025-10-23,487,2025-10-23,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNY Mellon Advantage Funds, Inc.",914775,,,,,"BNY MELLON INVESTMENT ADVISER, INC.","240 GREENWICH STREET","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10286,"(212) 922-6400",,,,,525910,"Open-End Investment Funds",40,574587,"Ernst & Young LLP",2,0042,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-08-31,2025,08,2025-10-23,N-CSR,2025-10-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"150,900","69,658","220,558",,,,,,,,,,,,,,
"SEI TAX EXEMPT TRUST",701817,,,,,"SEI INVESTMENTS","1 FREEDOM VALLEY CIRCLE",OAK,Montgomery,PA,PENNSYLVANIA,"US Mid Atlantic",19456,"(610) 676-3097",,,,,525990,"Other Financial Vehicles",40,575099,"KPMG LLP",4,0185,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-08-31,2025,08,2025-10-28,N-CSR,2025-11-06,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"184,305",0,"184,305",,,,,,,,,,,,,,
"FT 12589",2080232,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,575867,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-11-20,2025,11,2025-11-20,487,2025-11-20,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calvert Responsible Index Series, Inc.",1105446,,,,,"2050 M STREET NW",,WASHINGTON,"District of Columbia",DC,"DISTRICT OF COLUMBIA","US Mid Atlantic",20036,"(800) 225-6265",,,,,525990,"Other Financial Vehicles",40,576123,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-09-30,2025,09,2025-11-20,N-CSR,2025-11-26,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"132,100",0,"132,100",,,,,,,,,,,,,,
